pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,events,description,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,pitch_name
FF,5/17/2021,97.1,-1.12,5.77,"Adrianza, Ehire",field_out,hit_into_play,line_drive,160,96.8,9,98.8,2476,7.2,4-Seam Fastball
FF,7/21/2021,97.1,-2.37,6.58,"Freeman, Freddie",field_out,hit_into_play,ground_ball,93,103.5,4,97.7,2353,6.7,4-Seam Fastball
SI,10/1/2021,97.1,-1.42,6.34,"Riley, Austin",field_out,hit_into_play,fly_ball,194,96.7,58,96.7,2268,6,Sinker
FF,6/29/2021,97.1,-0.77,5.79,"Albies, Ozzie",field_out,hit_into_play,fly_ball,190,78.5,59,99,2220,7.1,4-Seam Fastball
FF,9/7/2021,97.1,2.05,6.13,"Soto, Juan",single,hit_into_play,line_drive,204,112.1,9,97.2,2299,6.4,4-Seam Fastball
FF,4/10/2021,97.1,1.72,6.68,"Segura, Jean",single,hit_into_play,line_drive,193,76.6,18,96.3,2188,5.9,4-Seam Fastball
FF,8/24/2021,97,1.76,6.29,"Rizzo, Anthony",field_out,hit_into_play,line_drive,270,79.3,24,96.8,2390,6.2,4-Seam Fastball
FF,7/17/2021,97,0.96,6.21,"Franco, Wander",field_out,hit_into_play,line_drive,171,87.6,9,97.9,2223,6.5,4-Seam Fastball
FF,4/15/2021,97,2.13,5.53,"Aguilar, Jesús",field_out,hit_into_play,fly_ball,330,94.5,35,96.9,2414,6.2,4-Seam Fastball
FF,4/26/2021,97,-0.91,6.44,"Riley, Austin",field_out,hit_into_play,fly_ball,317,92.2,36,97.8,2611,6.7,4-Seam Fastball
FF,9/11/2021,97,-1.91,5.59,"Rojas, Miguel",double,hit_into_play,ground_ball,126,76.7,9,97,2384,6.3,4-Seam Fastball
FF,10/3/2021,97,1.73,6.24,"Villar, Jonathan",single,hit_into_play,ground_ball,7,102.9,-13,97.2,2410,6.3,4-Seam Fastball
FF,10/1/2021,97,-0.33,6.81,"McCann, James",field_out,hit_into_play,ground_ball,16,90.5,-8,96.1,2126,6,4-Seam Fastball
FF,5/9/2021,97,-0.69,6.66,"Harper, Bryce",field_out,hit_into_play,line_drive,318,94.2,21,97.1,2171,6.2,4-Seam Fastball
FF,9/9/2021,97,-0.64,6.63,"Escobar, Alcides",field_out,hit_into_play,ground_ball,2,70,-54,96.6,2145,6.2,4-Seam Fastball
FF,6/1/2021,97,-2.54,5.64,"Freeman, Freddie",field_out,hit_into_play,ground_ball,18,104.7,-7,96.8,2231,6.2,4-Seam Fastball
SI,4/11/2021,97,-1.43,5.96,"Ozuna, Marcell",field_out,hit_into_play,ground_ball,9,91.7,-17,97.5,2136,6.5,Sinker
FF,7/21/2021,97,-2.45,6.46,"Arcia, Orlando",field_out,hit_into_play,fly_ball,360,94.8,28,97.8,2355,6.9,4-Seam Fastball
SI,6/4/2021,97,-1.85,5.37,"Contreras, William",field_out,hit_into_play,ground_ball,4,72.7,-36,97.3,1987,6.3,Sinker
FF,10/1/2021,96.9,-1.61,5.64,"Albies, Ozzie",single,hit_into_play,ground_ball,132,96.3,7,98.9,2187,7.4,4-Seam Fastball
FF,6/29/2021,96.9,-0.96,5.76,"Freeman, Freddie",field_out,hit_into_play,fly_ball,323,100.3,44,98.2,2322,7.1,4-Seam Fastball
SI,9/8/2021,96.9,-1.57,5.7,"Freeman, Freddie",field_out,hit_into_play,line_drive,301,97.7,17,97.6,2020,6.6,Sinker
FF,4/9/2021,96.9,-1.52,5.72,"Albies, Ozzie",double,hit_into_play,ground_ball,108,106.2,5,99,2446,7.2,4-Seam Fastball
SI,9/28/2021,96.9,-1.49,5.55,"Duvall, Adam",field_out,hit_into_play,ground_ball,7,73.9,-24,98.4,2209,7.3,Sinker
FF,9/12/2021,96.9,-1.84,6.09,"d'Arnaud, Travis",field_out,hit_into_play,popup,163,85.9,66,97.2,2221,6.6,4-Seam Fastball
FF,7/4/2021,96.9,-2.04,6.42,"León, Sandy",field_out,hit_into_play,fly_ball,338,100.1,40,98.1,2143,6.8,4-Seam Fastball
FF,4/23/2021,96.9,-0.97,6.12,"Albies, Ozzie",home_run,hit_into_play,fly_ball,416,104.8,31,98.2,2338,7,4-Seam Fastball
FF,4/12/2021,96.9,-0.71,6.72,"Cooper, Garrett",single,hit_into_play,ground_ball,11,95.4,-16,96.8,2136,6.1,4-Seam Fastball
FF,7/2/2021,96.9,-2.2,6.43,"Aguilar, Jesús",field_out,hit_into_play,fly_ball,381,100.7,38,98.1,2153,6.9,4-Seam Fastball
SI,4/13/2021,96.9,0.82,6.07,"Cooper, Garrett",field_out,hit_into_play,ground_ball,15,96.8,-8,97.6,2075,6.5,Sinker
FF,10/3/2021,96.9,-1.9,5.65,"Lindor, Francisco",field_out,hit_into_play,fly_ball,355,94.3,27,96.9,2392,6.2,4-Seam Fastball
FF,6/16/2021,96.9,-1.6,5.84,"Acuña Jr., Ronald",field_out,hit_into_play,fly_ball,321,89,43,97.5,2103,6.5,4-Seam Fastball
FF,4/23/2021,96.9,-0.97,6.11,"Ozuna, Marcell",field_out,hit_into_play,popup,138,98.2,63,98,2607,6.8,4-Seam Fastball
FF,4/23/2021,96.9,-0.67,6.7,"Smith, Pavin",field_out,hit_into_play,ground_ball,41,110.8,-2,96.7,2092,6.2,4-Seam Fastball
FF,7/17/2021,96.9,1.06,6.11,"Meadows, Austin",field_out,hit_into_play,ground_ball,74,105.6,2,97.5,2080,6.5,4-Seam Fastball
FF,8/24/2021,96.9,-2.1,5.5,"Rizzo, Anthony",field_out,hit_into_play,fly_ball,333,93.1,39,96.7,2476,6.1,4-Seam Fastball
FF,4/15/2021,96.9,2.13,5.53,"Cooper, Garrett",single,hit_into_play,line_drive,177,106.2,7,96.4,2410,6.2,4-Seam Fastball
FF,5/9/2021,96.8,-0.42,6.65,"Hoskins, Rhys",field_out,hit_into_play,ground_ball,65,105.2,2,96.8,2273,6.2,4-Seam Fastball
FF,6/20/2021,96.8,1.56,6.53,"Goldschmidt, Paul",single,hit_into_play,line_drive,187,109.1,11,96,2428,5.7,4-Seam Fastball
FF,8/28/2021,96.8,-0.48,6.52,"Webb, Logan",field_out,hit_into_play,ground_ball,21,101.4,-4,96.4,2160,6.2,4-Seam Fastball
FF,6/15/2021,96.8,-1.36,6.19,"Riley, Austin",single,hit_into_play,ground_ball,1,66.1,-74,98.7,2061,7.1,4-Seam Fastball
FF,5/19/2021,96.8,-1.97,5.62,"Villar, Jonathan",field_out,hit_into_play,fly_ball,237,90.1,54,97.2,,6.3,4-Seam Fastball
SI,7/4/2021,96.8,-1.96,5.62,"Aguilar, Jesús",field_out,hit_into_play,ground_ball,56,102.5,0,96.5,1941,6.2,Sinker
